,maker_num,model_num,detail_num,cost,exchange
325,1,8,34,439968,"Rear bumper:coating,exchange"
326,1,8,8,474188,"Rear bumper:coating,exchange"
327,1,1,3,329238,"Front bumper:exchange,coating"
328,1,14,35,353568,"Rear bumper:coating,exchange"
329,1,25,26,976158,"Rear bumper:coating,exchange"
330,1,20,20,347018,"Front bumper:exchange,coating"
331,1,22,23,221058,"Rear bumper:coating,exchange"
332,1,20,20,1297808,"Front bumper:exchange,coating"
333,1,14,35,228388,"Rear bumper:coating,exchange"
334,1,22,22,610378,"Rear bumper:coating,exchange"
335,1,13,42,326408,"Front bumper:exchange,coating"
336,1,22,23,205288,"Rear bumper:coating,exchange"
337,97,118,124,664298,"Rear bumper:coating,exchange"
338,1,14,35,295559,"Rear bumper:coating,exchange"
339,1,20,20,321968,"Front bumper:exchange,coating"
340,1,20,20,463968,"Rear bumper:coating,exchange"
341,1,13,42,563758,"Rear bumper:coating,exchange"
342,1,25,26,298458,"Rear bumper:coating,exchange"
343,1,13,42,462968,"Front bumper:exchange,coating"
344,1,15,39,546029,"Bumper:coating,exchange"
345,1,30,30,445268,"Rear bumper:coating,exchange"
346,1,15,39,349119,"Bumper:coating,exchange"
347,1,20,20,672078,"Rear bumper:coating,exchange"
348,1,4,5,348518,"Rear bumper:coating,exchange"
349,1,14,38,229718,"Rear bumper:coating,exchange"
350,1,1,3,543058,"Rear bumper:coating,exchange"
351,1,14,37,269878,"Rear bumper:coating,exchange"
352,1,1,2,396439,"Rear bumper:coating,exchange"
353,1,13,42,566851,"Rear bumper:repair,coating,exchange"
354,97,150,152,440199,"Bumper:coating,exchange"
355,1,14,38,298088,"Rear bumper:coating,exchange"
356,1,15,39,273240,Wheel:exchange
357,1,1,2,432909,"Bumper:coating,exchange"
358,1,1,2,432909,"Bumper:coating,exchange"
359,1,1,2,303849,"Bumper:coating,exchange"
360,1,15,39,524079,"Rear bumper:coating,exchange"
361,1,1,2,930319,"Bumper:coating,exchange"
362,1,15,39,524079,"Rear bumper:coating,exchange"
363,1,15,40,342748,"Rear bumper:coating,exchange"
364,1,15,39,357049,"Rear bumper:coating,exchange"
365,1,25,26,460668,"Rear bumper:coating,exchange"
366,1,14,38,227638,"Front bumper:exchange,coating"
367,1,14,38,227638,"Front bumper:exchange,coating"
368,1,15,39,388409,"Rear bumper:coating,exchange"
369,1,8,8,437578,"Rear bumper:coating,exchange"
370,1,15,39,344259,"Rear bumper:coating,exchange"
371,97,105,130,361588,"Front bumper:exchange,coating"
372,1,15,39,615919,"Bumper:coating,exchange"
373,1,22,22,582358,"Rear bumper:coating,exchange"
374,1,8,34,389708,"Rear bumper:coating,exchange"
375,1,13,42,709248,"Rear bumper:coating,exchange"
376,1,15,39,479969,"Bumper:coating,exchange"
377,1,13,42,381828,"Front bumper:exchange,coating"
378,1,14,35,606849,"Rear bumper:coating,exchange"
379,1,15,39,501079,"Bumper:coating,exchange"
380,1,1,2,376569,"Rear bumper:coating,exchange"
381,1,28,28,203859,"Bumper:coating,exchange"
382,1,15,39,796189,"Bumper:coating,exchange"
383,1,15,39,796189,"Bumper:coating,exchange"
384,1,30,30,291330,"Front bumper:exchange,coating"
385,1,10,10,323078,"Front bumper:exchange,coating"
386,1,25,25,416522,"Front bumper:coating,exchange;Bumper:exchange"
387,1,4,6,299220,"Front bumper:exchange,coating"
388,1,15,39,579839,"Bumper:coating,exchange"
