,maker,model,detail,category_id,cnt,cost_total,repair,exchange,repaired
1853,기아,쏘렌토,올뉴쏘렌토,as-0073575,42832.0,678439.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1854,기아,쏘렌토,올뉴쏘렌토,as-0073756,42966.0,484727.0,Front bumper:repair;Bumper:coating,,Front bumper:repair;Bumper:coating
1855,기아,쏘렌토,올뉴쏘렌토,as-0074258,43289.0,586909.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1856,기아,쏘렌토,올뉴쏘렌토,as-0074486,43425.0,354609.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1857,기아,쏘렌토,올뉴쏘렌토,as-0076629,44687.0,146610.0,Wheel:exchange;Wheel:exchange,Wheel:exchange;Wheel:exchange,
1858,기아,쏘렌토,올뉴쏘렌토,as-0076640,44694.0,324739.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1859,기아,쏘렌토,올뉴쏘렌토,as-0077777,45411.0,342137.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1860,기아,쏘렌토,올뉴쏘렌토,as-0078237,45703.0,990257.0,Front bumper:repair;Bumper:coating,,Front bumper:repair;Bumper:coating
1861,기아,쏘렌토,올뉴쏘렌토,as-0079748,46771.0,712549.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1862,기아,쏘렌토,올뉴쏘렌토,as-0079798,46806.0,728019.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1863,기아,쏘렌토,올뉴쏘렌토,as-0080926,47627.0,324579.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1864,기아,쏘렌토,올뉴쏘렌토,as-0080971,47658.0,816212.0,Front bumper:repair;Bumper:coating,,Front bumper:repair;Bumper:coating
1865,기아,쏘렌토,올뉴쏘렌토,as-0081243,47853.0,1034649.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1866,기아,쏘렌토,올뉴쏘렌토,as-0081256,47861.0,1025129.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1867,기아,쏘렌토,올뉴쏘렌토,as-0081664,48134.0,674789.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1868,기아,쏘렌토,올뉴쏘렌토,as-0081814,48237.0,670049.0,"Bumper:coating,repair,exchange","Bumper:coating,repair,exchange",
1869,기아,쏘렌토,올뉴쏘렌토,as-0081946,48337.0,943737.0,"Front bumper:repair;Bumper:coating,exchange","Front bumper:repair;Bumper:coating,exchange",
1870,기아,쏘렌토,올뉴쏘렌토,as-0082181,48504.0,591389.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1871,기아,쏘렌토,올뉴쏘렌토,as-0082358,48624.0,1024789.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1872,기아,쏘렌토,올뉴쏘렌토,as-0082375,48634.0,1790789.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1873,기아,쏘렌토,올뉴쏘렌토,as-0082403,48657.0,1016369.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1874,기아,쏘렌토,올뉴쏘렌토,as-0082936,49032.0,443017.0,Front bumper:repair;Bumper:coating,,Front bumper:repair;Bumper:coating
1875,기아,쏘렌토,올뉴쏘렌토,as-0083037,49107.0,342119.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1876,기아,쏘렌토,올뉴쏘렌토,as-0083445,49355.0,619129.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1877,기아,쏘렌토,올뉴쏘렌토,as-0083527,49388.0,574959.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1878,기아,쏘렌토,올뉴쏘렌토,as-0083559,49406.0,269689.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1879,기아,쏘렌토,올뉴쏘렌토,as-0083680,49472.0,204170.0,Wheel:exchange;Wheel:exchange,Wheel:exchange;Wheel:exchange,
1880,기아,쏘렌토,올뉴쏘렌토,as-0084014,49681.0,460526.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1881,기아,쏘렌토,올뉴쏘렌토,as-0084302,49857.0,190768.0,Front bumper:coating,,Front bumper:coating
1882,기아,쏘렌토,올뉴쏘렌토,as-0084399,49921.0,220816.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1883,기아,쏘렌토,올뉴쏘렌토,as-0084419,49932.0,207416.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1884,기아,쏘렌토,올뉴쏘렌토,as-0084447,49950.0,171118.0,Front bumper:coating,,Front bumper:coating
1885,기아,쏘렌토,올뉴쏘렌토,as-0084497,49987.0,216586.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1886,기아,쏘렌토,올뉴쏘렌토,as-0084615,50060.0,230706.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1887,기아,쏘렌토,올뉴쏘렌토,as-0084666,50080.0,470996.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1888,기아,쏘렌토,올뉴쏘렌토,as-0085200,50331.0,257118.0,"Front bumper:sheet_metal,exchange,coating","Front bumper:sheet_metal,exchange,coating",
1889,기아,쏘렌토,올뉴쏘렌토,as-0085545,50504.0,281816.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1890,기아,쏘렌토,올뉴쏘렌토,as-0086031,50739.0,236759.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1891,기아,쏘렌토,올뉴쏘렌토,as-0086296,50897.0,825967.0,"Front bumper:repair;Bumper:coating,exchange","Front bumper:repair;Bumper:coating,exchange",
