category_id,cnt,maker,model,detail,model_detail,cost_wages,cost_repairparts,cost_total,part,repair
as-0079777,46793,현대,그랜저,HG그랜져,HG 240,513126.0,0,513126,,"Front bumper:repair,coating"
as-0079798,46806,기아,쏘렌토,올뉴쏘렌토,R2.0 디젤 노블레스,728019.0,0,728019,,"Bumper:coating,exchange"
as-0079819,46823,현대,쏘나타,LF 쏘나타,2.0 CVVL SMART,612487.0,0,612487,,"Front bumper:repair;Bumper:coating,exchange"
as-0079840,46841,기아,K3,K3(18),럭셔리,638987.0,0,638987,"Front fender,Rocker panel(R)",Front bumper:repair;Bumper:coating
as-0079854,46853,기아,K5,K5(15),디젤 1.7 럭셔리,479986.0,0,479986,,"Front bumper:repair,coating"
as-0079868,46858,현대,EQ900,EQ900,3.8 GDI 프레스티지,390773.0,0,390773,,"Front bumper:repair,coating"
as-0079887,46877,현대,쏘나타,쏘나타(19),G2.0,245919.0,0,245919,Front bumper,"Bumper:coating,exchange"
as-0079913,46890,현대,G80,제네시스(14),G330 Modern,748807.0,0,748807,Front fender,Front bumper:repair;Bumper:coating
as-0079919,46892,기아,모닝,올뉴모닝(15),바이퓨얼 스마트,270916.0,0,270916,"Front door,Front bumper,Rocker panel(R),Rear door","Front bumper:repair,coating"
as-0079964,46927,현대,스타렉스,그랜드스타렉스3밴(18),디젤 스마트,513607.0,0,513607,,"Front bumper:repair,coating"
as-0079974,46935,현대,싼타페,싼타페TM(18),디젤2.0,715767.0,0,715767,,Front bumper:repair;Bumper:coating
as-0079981,46940,현대,아반떼,아반떼MD(13),1.6 GDI,293676.0,0,293676,Front bumper,"Front bumper:repair,coating"
as-0080046,46983,현대,G80,제네시스(14),G330 Premium,382359.0,0,382359,,"Bumper:coating,exchange"
as-0080218,47109,기아,카니발,올뉴카니발(14),2.2디젤프레스티지(9인승),27000.0,0,27000,Wheel,Wheel:exchange
as-0080221,47112,현대,아반떼,아반떼AD(16),1.6 GDI 모던,400219.0,0,400219,Front bumper,"Bumper:coating,exchange"
as-0080226,47116,현대,베뉴,베뉴(19),모던,452619.0,0,452619,,"Bumper:coating,repair"
as-0080293,47165,현대,아반떼,아반떼AD(16),1.6 GDI 모던,654247.0,0,654247,,Front bumper:repair;Bumper:coating
as-0080325,47193,현대,싼타페,싼타페TM(18),디젤2.2 인스퍼레이션,753357.0,0,753357,"Front fender,Front bumper","Front bumper:repair;Bumper:coating,exchange"
as-0080372,47226,현대,G80,제네시스(14),G330 Premium,376629.0,0,376629,,"Bumper:coating,exchange"
as-0080423,47260,쌍용,티볼리,티볼리,VX (디젤),776172.0,0,776172,Front bumper,"Front bumper:repair,coating"
as-0080430,47266,현대,싼타페,싼타페TM(18),디젤2.2,743937.0,0,743937,"Front fender,Front bumper",Front bumper:repair;Bumper:coating
as-0080437,47271,현대,투싼,올뉴투싼(15),R2.0 모던,565756.0,0,565756,,"Front bumper:repair,coating"
as-0080439,47273,현대,싼타페,싼타페(15),디젤2.0  익스클루시브,373686.0,0,373686,Front bumper,"Front bumper:repair,coating"
as-0080456,47283,기아,스포티지,스포티지(16),프레스티지 2.0,368213.0,0,368213,Front bumper,"Front bumper:repair,coating"
as-0080462,47288,현대,싼타페,싼타페TM(18),디젤2.0 인스퍼레이션,676987.0,0,676987,,Front bumper:repair;Bumper:coating
